"key","parent","text"
1,,"Unterhaltung"
2,1,"Promis"
3,1,"Klatsch und Tratsch"
4,1,"Spiele"
5,1,"Filme"
6,1,"Musik"
7,1,"Fernsehen"
8,,"Business"
9,8,"Finanzgeschäfte"
10,8,"Wirtschaft"
11,8,"Unternehmer"
12,8,"Investieren"
13,8,"Immobilien "
14,8,"Wertpapiere "
15,,"Lifestyle"
16,15,"Architektur"
17,15,"Kunst"
18,15,"Autos"
19,15,"Mode"
20,15,"Essen und Wein"
21,15,"Gesundheit und Fitness"
22,15,"Literatur"
23,15,"Reisen"
24,,"Sport"
25,24,"Baseball"
26,24,"Basketball"
27,24,"Radfahren"
28,24,"Football"
29,24,"Golf"
30,24,"Hockey"
31,24,"Fußball"
32,24,"Tennis"
33,,"Technik"
34,33,"Computer"
35,33,"Unterhaltungselektronik"
36,33,"Zubehör"
37,33,"Internet"
38,33,"Wissenschaft"
39,2,"Schauspieler"
40,2,"Bilder"
41,3,"Frisur"
42,4,"3D Games"
43,4,"Action Games"
44,4,"Adventure Games"
45,4,"Arcade Games"
46,4,"Armor Games"
47,4,"Baseball Games"
48,4,"Basketball Games"
49,4,"Bike-Games"
50,4,"Brettspiele"
51,4,"Autospiele"
52,4,"Kartenspiele"
53,4,"Computerspiele"
54,4,"Kochspiele"
55,4,"Spieledownload"
56,4,"Lernspiele"
57,4,"Football-Spiele"
58,4,"gratis Spiele"
59,4,"Online-Spiele"
60,4,"Spiele runterladen"
61,4,"Spielekritik"
62,4,"Spieleseiten"
63,5,"beste Filme"
64,5,"Filme kaufen"
65,5,"Promifilm"
66,5,"Filmarchiv"
67,5,"Klassikfilme"
68,5,"Disneyfilme"
69,5,"Filme runterladen"
70,5,"DVDs"
71,5,"Film"
72,5,"Film-Festival"
73,5,"gratis Filme"
74,5,"kostenlose Filme"
75,5,"kostenlose Videos"
76,5,"lustige Videos"
77,5,"tolle Clips"
78,5,"Filme für zuhause"
79,5,"Horrorfilme"
80,5,"Sexfilme"
81,5,"Filmarchiv"
82,5,"Filmclips"
83,5,"Filme runterladen"
84,5,"Online-Filme"
85,5,"Filme online gucken"
86,5,"Youtube Videos"
87,6,"Musik kaufen"
88,6,"klassische Musik"
89,6,"Clubmusic"
90,6,"Countrymusik"
91,6,"Tanzmusik"
92,6,"Musik runterladen"
93,6,"gratis Musik"
94,6,"Jazzmusik"
95,6,"Latinmusik"
96,6,"gratis Musik hören"
97,6,"Musik hören"
98,6,"Livemusik"
99,6,"MP3 Songs"
100,7,"Kabelfernsehen"
101,7,"digitales Fernsehen"
102,7,"Flachbild-TV"
103,7,"Flachbild-TV"
104,7,"Food Network"
105,7,"HD-TV"
106,7,"LCD-TV"
107,7,"Plasma-TV"
108,7,"Satelliten-TV"
109,9,"Autofinanzierung"
110,9,"Buchhaltung"
111,9,"Unternehmensberatung"
112,9,"Unternehmensfinanzierung"
113,9,"Unternehmen kaufen"
114,9,"Geschäftsplan"
115,9,"Unternehmensplanung"
116,9,"Unternehmensgründung"
117,9,"Unternehmensstrategie"
118,9,"Unternehmen kaufen"
119,9,"Autofinanzierung"
120,9,"Fahrzeugfinanzierung"
121,9,"Home-Office"
122,9,"Hypothek"
123,9,"Hypothek"
124,9,"Hypothekenrechner"
125,9,"Hypothekenkredit"
126,9,"Hypothekenkredite"
127,9,"Hypothekenrate"
128,9,"Hypothekenraten"
129,9,"Online-Banking"
130,9,"persönliche Finanzierung"
131,9,"Kleinbetrieb"
132,9,"Marketing für Kleinbetriebe"
133,10,"Wirtschaftsanalyse"
134,10,"Wirtschaftsentwicklung"
135,10,"Wirtschaftswachstum"
136,10,"Wirtschaftspolitik"
137,10,"Wirtschaftssystem"
138,10,"Wirtschaftswissenschaften "
139,10,"Online-Community"
140,11,"Unternehmer werden"
141,11,"Unternehmer"
142,11,"Unternehmenszentrum"
143,11,"Unternehmerjobs"
144,11,"Unternehmensmagazin"
145,11,"Unternehmernetzwerk"
146,11,"Chancen des Unternehmertums "
147,11,"Organisation des Unternehmertums "
148,12,"Vermögensverwaltung"
149,12,"Finanzberater"
150,12,"Finanzanalytiker"
151,12,"Börse"
152,13,"Amerikanische Immobilien"
153,13,"Immobilien finden"
154,13,"Immobilienmakler"
155,13,"Grundstücksmakler"
156,13,"Immobilie kaufen"
157,13,"Investition in Immobilien"
158,13,"Immobilienlizenz"
159,13,"Immobilienliste"
160,13,"Immobilienmarkt"
161,13,"Immobilienbesitz"
162,13,"Immobilienvermietung "
163,13,"Immobilienverkauf"
164,13,"Immobiliensuche"
165,14,"Wertpapiere kaufen"
166,14,"wie investieren"
167,14,"Wertpapiere kennenlernen"
168,14,"Börsenmakler"
169,14,"Wertpapiermärkte"
170,14,"Wertpapierpreise"
171,14,"Wertpapiererträge"
172,16,"Architekt"
173,16,"architektonisches Design"
174,16,"Jobs als Designer"
175,16,"Design-Studio"
176,16,"Hausentwurf"
177,16,"Innerngestaltung"
178,16,"Innendesign"
179,16,"Küchendesign"
180,16,"Landschaftsarchitektur"
181,17,"Kunst kaufen"
182,17,"Kunstgalerie"
183,17,"Kunst online"
184,18,"Autozubehör"
185,18,"Autoauktion"
186,18,"Autohändler"
187,18,"Fahrzeugversicherung"
188,18,"Autokredit"
189,18,"Fahrzeugteile"
190,18,"Mietwagen"
191,18,"Autoreparatur"
192,18,"Autoverkauf"
193,18,"Auto-Show"
194,18,"Auto kaufen"
195,18,"klassische Wagen"
196,18,"Hybridfahrzeuge "
197,18,"neue Autos"
198,18,"alte Autos"
199,18,"Wagen mieten"
200,18,"Gebrauchtwagen"
201,19,"Babykleidung"
202,19,"Kinderkleidung"
203,19,"Bekleidungsgeschäfte"
204,19,"Designerkleidung"
205,19,"Modedesign"
206,19,"Modedesigner"
207,19,"Modenschau"
208,19,"Kleidung für Mädchen"
209,19,"Umstandsmode"
210,19,"Herrenkleidung"
211,19,"Damenkleidung"
212,20,"Babynahrung"
213,20,"Kuchenrezepte"
214,20,"Hühnchenrezepte"
215,20,"chinesisches Essen"
216,20,"Diätnahrung"
217,20,"Fast Food"
218,20,"Lebensmittel"
219,20,"gesundes Essen"
220,20,"indisches Essen"
221,20,"italienisches Essen"
222,20,"Junk Food"
223,20,"mexikanisches Essen"
224,20,"Organic Food"
225,20,"Rezepte"
226,20,"Wein"
227,21,"gesunde Zähne"
228,21,"Diätpillen"
229,21,"Training"
230,21,"Trainingsausrüstung"
231,21,"Fitness"
232,21,"Gesundheit"
233,21,"Gesundheitspflege"
234,21,"Fitnessclub"
235,21,"gesundes Essen"
236,21,"Krankenversicherung"
237,21,"Gesundheitsmagazin"
238,21,"Sport"
239,21,"Workout"
240,22,"antike Bücher"
241,22,"Audiobücher"
242,22,"Babybücher"
243,22,"Bestseller"
244,22,"Buchclub"
245,22,"Buchkritiken"
246,22,"Buch suchen"
247,22,"Buchläden"
248,22,"Kinderbücher"
249,22,"Comics"
250,22,"Romane"
251,22,"Literatur "
252,22,"Poesie"
253,22,"Schulbücher"
254,22,"Lehrbücher"
255,22,"gebrauchte Bücher"
256,23,"Abenteuerreise"
257,23,"Flugreise"
258,23,"billige Reise"
259,23,"Billigflüge"
260,23,"günstige Hotels"
261,23,"günstige Reise"
262,23,"Hotelaufenthalt verlängern"
263,23,"Familienurlaub"
264,23,"Flüge"
265,23,"Hotels"
266,23,"Reise"
267,25,"Baseball"
268,25,"Baseball"
269,25,"kleine Liga"
270,25,"Baseball für Jugendliche"
271,26,"Basketball"
272,26,"Basketball"
273,26,"NBA"
274,27,"Fahrradausrüstung"
275,27,"Radrennen"
276,27,"Radfahren"
277,27,"Fahrradläden"
278,28,"Football-Ausrüstung"
279,28,"Football-Feld"
280,28,"Football-Spiele"
281,29,"günstig golfen"
282,29,"kostenlos golfen"
283,29,"Golftaschen"
284,29,"Golfbälle"
285,29,"Golfcaddy"
286,29,"Golfclubs"
287,29,"Golfplätze"
288,29,"Golfausrüstung"
289,29,"Golfurlaub"
290,29,"Profigolf"
291,30,"Hockey-Camp"
292,30,"Hockey-Ausrüstung"
293,30,"Hockey-Spiele"
294,30,"Hockey-Ausrüstung"
295,30,"Hockey-Spieler"
296,30,"Eishockey"
297,31,"American Soccer"
298,31,"Brasilianischer Fußball"
299,31,"Fußballausrüstung"
300,31,"Fußballspiele"
301,31,"Fußballschuhe"
302,32,"Tennisball"
303,32,"Tenniskleidung"
304,32,"Tennisausrüstung"
305,32,"Tennisschläger"
306,32,"Tennisschuhe"
307,34,"Antivirus-Software"
308,34,"Computer zusammenstellen"
309,34,"Computer kaufen"
310,34,"günstige Computer"
311,34,"Computerzubehör"
312,34,"Computergehäuse"
313,34,"Computerspiele"
314,34,"Grafik"
315,34,"Hardware"
316,34,"Tastatur"
317,34,"PC-Speicher"
318,34,"Monitore"
319,34,"Computer-Software"
320,34,"Computerläden"
321,34,"Desktop-PCs"
322,34,"Laptop"
323,34,"Laptop "
324,34,"Pocket-PC"
325,34,"Tablet-PC"
326,36,"Desktop-Zubehör"
327,36,"elektronisches Zubehör"
328,36,"elektronisches Spielzeug"
329,36,"Hi-Tech-Zubehör"
330,36,"Küchenzubehör"
331,36,"neuestes Zubehör"
332,36,"neues Zubehör"
333,36,"Spionagezubehör"
334,36,"technisches Zubehör"
335,37,"Breitband-Internet"
336,37,"Kabel-Internet"
337,37,"günstiges Internet"
338,37,"schnelles Internet"
339,37,"kostenloses Internet"
340,37,"Internetwerbung"
341,37,"Internet-TV"
342,37,"mobiles Internet"
343,37,"Satelliteninternet"
344,37,"Wireless Internet"
345,38,"wissenschaftliche Bücher"
346,38,"Wissenschaftszentrum"
347,38,"wissenschaftliche Experimente"
348,38,"Wissenschaftsausstellung"
349,38,"Science-Fiction"
350,38,"Wissenschaftsmuseum"
351,38,"Neues aus der Wissenschaft"
